GP_A,W_A,L_A,AGT_A,K_A,D_A,KD_A,CKPM_A,GSPD_A,GD15_A,FB%_A,FT%_A,F3T%_A,PPG_A,HLD%_A,GRB%_A,FD%_A,DRG%_A,ELD%_A,FBN%_A,BN%_A,LNE%_A,JNG%_A,WPM_A,CWPM_A,WCPM_A,winrate%_A,GP_B,W_B,L_B,AGT_B,K_B,D_B,KD_B,CKPM_B,GSPD_B,GD15_B,FB%_B,FT%_B,F3T%_B,PPG_B,HLD%_B,GRB%_B,FD%_B,DRG%_B,ELD%_B,FBN%_B,BN%_B,LNE%_B,JNG%_B,WPM_B,CWPM_B,WCPM_B,winrate%_B,teamA,teamB,date,league,teamA_win
36.0,23.0,13.0,31.623148148148143,496.0,418.0,1.186602870813397,0.801699528178716,0.0563031455555555,,0.3888888888888889,0.5555555555555556,,,0.5694444444444444,,0.4722222222222222,0.5246913580246914,,,0.5961538461538461,,0.5340290864615506,2.979961111111111,1.37466928768569,1.6517681323036988,0.6388888888888888,37.0,14.0,23.0,31.56756756756757,414.0,519.0,0.7976878612716763,0.8008306351920773,-0.0264904891891891,,0.5405405405405406,0.4444444444444444,,,0.4444444444444444,,0.5,0.4303030303030303,,,0.4561403508771929,,0.4993851901064365,2.6861432432432437,1.1166374862664188,1.7081214361680022,0.3783783783783784,Weibo Gaming,Rare Atom,2023-03-26,LPL,1
39.0,13.0,26.0,31.974358974358985,405.0,521.0,0.7773512476007678,0.7470780841911178,-0.0753946412307692,,0.5384615384615384,0.4358974358974359,,,0.3846153846153846,,0.358974358974359,0.425287356321839,,,0.3018867924528302,,0.466728388184397,2.821425641025641,1.2609107615438218,1.4326798204709623,0.3333333333333333,34.0,16.0,18.0,32.61470588235294,416.0,407.0,1.022113022113022,0.7537869036547796,-0.0191934376470588,,0.6176470588235294,0.3235294117647059,,,0.5441176470588235,,0.4705882352941176,0.535031847133758,,,0.4259259259259259,,0.4895739089103758,3.2145441176470597,1.2557669843112669,1.717213471341139,0.4705882352941176,Anyone's Legend,ThunderTalk Gaming,2023-03-26,LPL,0
37.0,17.0,20.0,31.919369369369363,491.0,481.0,1.020790020790021,0.8290114067584134,-0.0052411291891891,,0.4324324324324324,0.5945945945945946,,,0.5205479452054794,,0.5945945945945946,0.5304878048780488,,,0.5344827586206896,,0.4695851738791054,3.152689189189189,1.2886708514832244,1.6633564196017665,0.4594594594594595,36.0,13.0,23.0,31.78287037037037,423.0,470.0,0.9,0.791303975197946,-0.0393666458333333,,0.5277777777777778,0.3714285714285714,,,0.3333333333333333,,0.5428571428571428,0.4387096774193548,,,0.4545454545454545,,0.4761363820172419,2.552202777777778,1.0347517402537356,1.5555341672443226,0.3611111111111111,Team WE,Ninjas in Pyjamas,2023-03-25,LPL,1
34.0,26.0,8.0,30.76323529411765,534.0,334.0,1.598802395209581,0.8362046541688289,0.1003994908823529,,0.5,0.7272727272727273,,,0.6307692307692307,,0.6060606060606061,0.6190476190476191,,,0.6326530612244898,,0.5624377821399749,3.093047058823529,1.2744933082344658,1.7325201564836734,0.7647058823529411,35.0,9.0,26.0,30.52285714285714,318.0,572.0,0.5559440559440559,0.8396292785106565,-0.0866011580571428,,0.3142857142857143,0.2571428571428571,,,0.3768115942028985,,0.4571428571428571,0.3469387755102041,,,0.3111111111111111,,0.4754711410771047,3.018334285714286,1.40155301257561,1.4529862980898172,0.2571428571428571,JD Gaming,Ultra Prime,2023-03-25,LPL,1
39.0,24.0,15.0,32.31965811965813,559.0,502.0,1.1135458167330676,0.8273408866639025,0.0448034707692307,,0.5384615384615384,0.5128205128205128,,,0.4871794871794871,,0.5641025641025641,0.5657142857142857,,,0.5692307692307692,,0.5337112145347762,2.9043794871794875,1.237287065260272,1.6330188843328075,0.6153846153846154,39.0,22.0,17.0,32.134188034188035,469.0,465.0,1.0086021505376344,0.748425998253806,0.0267127051282051,,0.5128205128205128,0.4871794871794871,,,0.5641025641025641,,0.4871794871794871,0.5142857142857142,,,0.6451612903225806,,0.5010643592954734,2.9567076923076923,1.067867653126862,1.6671419759172068,0.5641025641025641,Bilibili Gaming,Oh My God,2023-03-25,LPL,0
32.0,16.0,16.0,32.381770833333334,395.0,378.0,1.0449735449735449,0.7584545438313475,-0.0144506499999999,,0.625,0.34375,,,0.5625,,0.5,0.5608108108108109,,,0.44,,0.4933521130714483,3.1757906250000003,1.2498873735824,1.727624592243684,0.5,37.0,26.0,11.0,31.161261261261256,480.0,385.0,1.2467532467532467,0.751347170623862,0.0365849664864864,,0.4594594594594595,0.6216216216216216,,,0.3378378378378378,,0.5675675675675675,0.6580645161290323,,,0.6470588235294118,,0.5328721772621225,2.7004459459459462,1.078991536268541,1.6181568629545626,0.7027027027027027,ThunderTalk Gaming,EDward Gaming,2023-03-24,LPL,0
37.0,26.0,11.0,33.24639639639639,597.0,425.0,1.4047058823529412,0.8355159850002447,0.0663126054054054,,0.5405405405405406,0.4571428571428571,,,0.5714285714285714,,0.5714285714285714,0.5722543352601156,,,0.5964912280701754,,0.5293376624455246,2.911743243243244,1.2951768357171856,1.7797901494269357,0.7027027027027027,36.0,13.0,23.0,33.81250000000001,380.0,466.0,0.8154506437768241,0.6994900930934114,-0.0319631475,,0.5277777777777778,0.4722222222222222,,,0.5694444444444444,,0.4166666666666667,0.4404761904761904,,,0.3928571428571428,,0.4870346431936785,2.617808333333334,1.2081980727569652,1.552350511958292,0.3611111111111111,LNG Esports,LGD Gaming,2023-03-24,LPL,1
37.0,13.0,24.0,32.079279279279284,426.0,504.0,0.8452380952380952,0.7953891515622127,-0.0475248189189189,,0.4324324324324324,0.4594594594594595,,,0.5277777777777778,,0.3783783783783784,0.4161490683229814,,,0.3958333333333333,,0.4880575994598798,2.689794594594594,1.1961450367405664,1.705351569455032,0.3513513513513513,36.0,19.0,17.0,30.910185185185192,510.0,415.0,1.2289156626506024,0.838511189768169,0.0214935611111111,,0.4166666666666667,0.6666666666666666,,,0.6338028169014085,,0.5833333333333334,0.5714285714285714,,,0.52,,0.4985940452429476,2.6866000000000003,1.2220744711645648,1.7443481966621863,0.5277777777777778,FunPlus Phoenix,Top Esports,2023-03-23,LPL,0
34.0,13.0,21.0,31.70833333333334,373.0,475.0,0.7852631578947369,0.7894749403485635,-0.0284440382352941,,0.5588235294117647,0.4242424242424242,,,0.4393939393939394,,0.5151515151515151,0.4013157894736842,,,0.4423076923076923,,0.4940844913913013,2.643973529411765,1.111552154897064,1.69259905799579,0.3823529411764705,34.0,16.0,18.0,31.76764705882353,400.0,420.0,0.9523809523809524,0.7727587304143941,-0.0031884785294117,,0.5294117647058824,0.6666666666666666,,,0.4461538461538462,,0.5151515151515151,0.4900662251655629,,,0.4347826086956521,,0.4839958708660888,2.841647058823529,1.2836594711505735,1.7492130290902406,0.4705882352941176,Rare Atom,Royal Never Give Up,2023-03-23,LPL,0
34.0,18.0,16.0,31.29754901960785,439.0,451.0,0.9733924611973392,0.8550226150074555,-0.0164365235294117,,0.6470588235294118,0.4411764705882353,,,0.5441176470588235,,0.3823529411764705,0.4315068493150685,,,0.52,,0.4756312777511789,2.9991235294117646,1.156247486826541,1.6405788696531265,0.5294117647058824,37.0,22.0,15.0,32.245045045045046,499.0,466.0,1.0708154506437768,0.7962179390930206,0.0412200691891891,,0.5135135135135135,0.5135135135135135,,,0.5,,0.5675675675675675,0.5548780487804879,,,0.5645161290322581,,0.530984228720513,2.873078378378379,1.238232394332627,1.658213559221748,0.5945945945945946,Invictus Gaming,Bilibili Gaming,2023-03-22,LPL,0
